review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
"Excellent in every respect. Excellent choices with good descriptions, user reviews and prices. Delivered as stated at time of ordering and great choice of fitting centres.Highly recommended!",value for money positive,delivery punctuality positive,location positive,,,,,,,,,,,,"excellent every respect . excellent choice good description , user review price . delivered stated time ordering great choice fitting centres.highly recommended !",[],[]
I ordered 2 tyres to be delivered to ATS Llanelli. After half an hour of dropping my car in the garage i received a phone call from ATS notifying ma that only 1 tyre had been delivered and that was the wrong tyre!,incorrect tyres sent negative,,,,,,,,,,,,,,ordered 2 tyre delivered at llanelli . half hour dropping car garage received phone call at notifying 1 tyre delivered wrong tyre !,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"Quick and easy service to use, good variety of selected garages to choose from. There was a delay in my tyre delivery; this was communicated to me effectively and rescheduled with no issues. The service from the selected garage was good and I saved money using [REDACTED].",advisoragent service positive,value for money positive,delivery punctuality negative,change of date negative,,,,,,,,,,,"quick easy service use , good variety selected garage choose . delay tyre delivery ; communicated effectively rescheduled issue . service selected garage good saved money using [ redacted ] .","[('Garage service', 'aspect'), ('Wait time', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Wait time', 'aspect', 'positive')]"
"Could not get through to an agent by phone at all, but I was able to manage the fitting time by e-mail",call wait time negative,,,,,,,,,,,,,,"could get agent phone , able manage fitting time e-mail",[],[]
Very impressed with the prices and the service. Cant be faulted! Well done, keep it up! Will definitely buy from you again.,value for money positive,,,,,,,,,,,,,impressed price service . cant faulted ! well done,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"The worst communication. To say i had a terrible customer experience is and understatement. To start off this terrible experience I had booked an AM fitting and there was no sign of the driver by 13:00 so i attempted to call [REDACTED] and was on hold for over 25 minutes. I didnt have anymore time to spend on the phone so i tried to send them and email asking whether or not the driver was going to turn up at all forgetting the AM fitting like i had booked (bearing in mind it is now 13:25 and still no tyres fitted). Not only did i not receive an email back with any information on the drivers where-abouts, i still haven't had an email back from them regarding the whole situation or apology!",response time negative,advisoragent service negative,,,,,,,,,,,,,"worst communication . say terrible customer experience understatement . start terrible experience booked fitting sign driver 13:00 attempted call [ redacted ] hold 25 minute . didnt anymore time spend phone tried send email asking whether driver going turn forgetting fitting like booked ( bearing mind 13:25 still tyre fitted ) . receive email back information driver where-abouts , still n't email back regarding whole situation apology !","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'negative')]"
"Great, polite service at garage and great price for tyres.",value for money positive,garage service positive,,,,,,,,,,,,,"great , polite service garage great price tyre .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good price and service,value for money positive,,,,,,,,,,,,,,good price service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Purchasing tyres was easy. Getting them fitted was a complete nightmare.- 14/08. Arrived at 7.45am for an 8am fitting. I left the garage at 11am. I complained at the timeabout the time it took took replace the 4 tyres. - 15/08. Started vehicle at 7.30am to drive to work. Tyre pressure warning light came on so checked tyres. Rear driver side tyre low as tyre was leaking air. Also noticed the tyre fitters had damaged wheels. Had to drive to the fitters to sort out air leak and complained about fresh damage to wheels. Took abou half for them to sort wheels and decided I would complain in writing rather than confront the fitters as at the time I was and am fuming. - 15/08. MOT booked in with BMW. Car passed MOT. However I was advised that the front brake pad warning wire was hanging. Had to book car in again on the 18/08 to be rectified.19/08. BMW checked the front brake pad warning wire. Brake Pads and discs replaced by BMW in March and was advised by BMW that the front brake pad warning compartment was cracked and the wire left hanging when the tyres were changed.Im not one to complain. However all the above are unacceptable.I will be pursuing this......,garage service negative,damage negative,length of fitting negative,,,,,,,,,,,,purchasing tyre easy . getting fitted complete nightmare.- 14/08 . arrived 7.45am 8am fitting . left garage 11am . complained timeabout time took took replace 4 tyre . - 15/08 . started vehicle 7.30am drive work . tyre pressure warning light came checked tyre . rear driver side tyre low tyre leaking air . also noticed tyre fitter damaged wheel . drive fitter sort air leak complained fresh damage wheel . took abou half sort wheel decided would complain writing rather confront fitter time fuming . - 15/08 . mot booked bmw . car passed mot . however advised front brake pad warning wire hanging . book car 18/08 rectified.19/08 . bmw checked front brake pad warning wire . brake pad disc replaced bmw march advised bmw front brake pad warning compartment cracked wire left hanging tyre changed.im one complain . however unacceptable.i pursuing ......,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
"Very good prices and fitted at local garage. After my first journey I had a flat tyre, took vehicle back to fitter who said puncture that cannot be repaired. After much mumbling to myself rang [REDACTED] to order another tyre and was told I was covered by lifetime guarantee on that tyre and replaced FOC. I was surprised and delighted and will definitely use again and recommend.",garage service positive,value for money positive,location positive,,,,,,,,,,,,"good price fitted local garage . first journey flat tyre , took vehicle back fitter said puncture repaired . much mumbling rang [ redacted ] order another tyre told covered lifetime guarantee tyre replaced foc . surprised delighted definitely use recommend .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Nothing outstanding, marginally cheaper but had fitting delayed",change of date negative,value for money positive,,,,,,,,,,,,,"nothing outstanding , marginally cheaper fitting delayed","[('Wait time', 'aspect')]","[('Wait time', 'aspect', 'negative')]"
"The ATS in Aylesford were most efficient, polite and flexible. the tyres were fitted and put on the wheels I required.",garage service positive,length of fitting positive,,,,,,,,,,,,,"at aylesford efficient , polite flexible . tyre fitted put wheel required .",[],[]
"Wide selection of tyres at good prices, prompt and efficient service at our local Horsham Broadbridge Heath garage.",location positive,garage service positive,value for money positive,,,,,,,,,,,,"wide selection tyre good price , prompt efficient service local horsham broadbridge heath garage .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good service at the best price,value for money positive,,,,,,,,,,,,,,good service best price,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very easy to select the correct tyres from your range. Would highly recommend your on-line services.,ease of booking positive,,,,,,,,,,,,,,easy select correct tyre range . would highly recommend on-line service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Polite quick and efficient service. Person who acted as the company representative was polite and helpful. I was met as I arrived and was dealt with straight away no waiting around. The premises were very basic but seemed to run efficiently - all seemed neat and tidy and will organised. I was near a large Tesco store so I was able to do some shopping as they got on with my tyres. I received a call on my mobile phone when the work was complete. I picked up my car straight away everything seemed in order. They could not give me the usual receipt but gave me a copy of the worksheet instead.,garage service positive,advisoragent service positive,wait time positive,,,,,,,,,,,,polite quick efficient service . person acted company representative polite helpful . met arrived dealt straight away waiting around . premise basic seemed run efficiently - seemed neat tidy organised . near large tesco store able shopping got tyre . received call mobile phone work complete . picked car straight away everything seemed order . could give usual receipt gave copy worksheet instead .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
quite good but others are occasionally cheaper,value for money negative,,,,,,,,,,,,,,quite good others occasionally cheaper,[],[]
i ordered my tyre and arranged a fitting date Monday 29 july i them got an email from you telling that my tyre has been delayed and not available until Tuesday 6th August i contacted the garage that was fitting the tyre to cancel my appointment only to be told they had the tyre delivered and could be fitted i have since had several emails from you to make a new time for fitting when it has already been done.,change of date negative,delivery punctuality negative,,,,,,,,,,,,,ordered tyre arranged fitting date monday 29 july got email telling tyre delayed available tuesday 6th august contacted garage fitting tyre cancel appointment told tyre delivered could fitted since several email make new time fitting already done .,"[('Garage service', 'aspect'), ('Wait time', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Wait time', 'aspect', 'negative')]"
Price and ease of overall service,value for money positive,,,,,,,,,,,,,,price ease overall service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to use website, great price for the tyres that I wanted, delivered to my local tyre centre which made the process hassle free.",value for money positive,location positive,,,,,,,,,,,,,"easy use website , great price tyre wanted , delivered local tyre centre made process hassle free .",[],[]
Fast easy service with great prices.,value for money positive,,,,,,,,,,,,,,fast easy service great price .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Garage fitted tyres efficiently and in a short time, very pleased with the results.",garage service positive,length of fitting positive,,,,,,,,,,,,,"garage fitted tyre efficiently short time , pleased result .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"easy to use, not messing around with garages, you can pick your slot",ease of booking positive,,,,,,,,,,,,,,"easy use , messing around garage , pick slot","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Superb and polite service from the garage. Reasonable price,value for money positive,garage service positive,,,,,,,,,,,,,superb polite service garage . reasonable price,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
I have used [REDACTED] before and been very happy but this time the Tyres were not delivered on time,delivery punctuality negative,,,,,,,,,,,,,,used [ redacted ] happy time tyre delivered time,[],[]
Staff were helpful a d polite BUT first selection turned out not to be available after being told it was. Offered alternative but never arrived at garage. LOST. That tyre was then not available so onto third choice which were fitted OK.,delivery punctuality negative,garage service positive,advisoragent service positive,no stock negative,,,,,,,,,,,staff helpful polite first selection turned available told . offered alternative never arrived garage . lost . tyre available onto third choice fitted ok .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"A bit of a mixed bag of goodbadgreat. A bit of a mixed bag in terms of overall experience I'm afraid, so lower rating than I anticipated. Finding and paying for the tires online, including the actual price for high grade Michelins, was all very good...things just fell apart after choosing the deliver and fit option to a local (big name) garage. Using the online booking too was a doddle but within 24hrs I had an email saying the time was no longer any good as the garage was fully booked. Then the customer service for alternative provision was basically picked for me from a few days/times I offered (a week later than my original slot mind you!). The worst part however was taking time of work to visit the garage only to be told 'they don't book tire fitting at their garage' and basically being told to wait in line for 45 mins behind the drive-in customers?! Bit pointless having a booking system and they fully blamed [REDACTED] for offering something online that well basically, wasn't offered in the real world. I have to say on the garage's part though they were excellent when I returned after about 40 mins and did the 2x tires very quickly and capably, so the eventual service was great. My tip then: ring the garage even if you book tires online with BC else you are wasting your time potentially!",ease of booking negative,booking confusion negative,change of date negative,length of fitting positive,wait time negative,garage service positive,value for money positive,change of time negative,,,,,,,"bit mixed bag goodbadgreat . bit mixed bag term overall experience 'm afraid , lower rating anticipated . finding paying tire online , including actual price high grade michelins , good ... thing fell apart choosing deliver fit option local ( big name ) garage . using online booking doddle within 24hrs email saying time longer good garage fully booked . customer service alternative provision basically picked days/times offered ( week later original slot mind ! ) . worst part however taking time work visit garage told 'they n't book tire fitting garage ' basically told wait line 45 min behind drive-in customer ? ! bit pointless booking system fully blamed [ redacted ] offering something online well basically , n't offered real world . say garage 's part though excellent returned 40 min 2x tire quickly capably , eventual service great . tip : ring garage even book tire online bc else wasting time potentially !","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
Excellent price and service from allocated dealer.,value for money positive,garage service positive,,,,,,,,,,,,,excellent price service allocated dealer .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Tyres turned up on time and as described.,delivery punctuality positive,,,,,,,,,,,,,,tyre turned time described .,[],[]
"Great Prices & Customer Service. Recommend both [REDACTED] and D&R motors. Left me lockable wheel nuts at garage, and [REDACTED] immediately contacted me to let me know. Would use again.",value for money positive,garage service positive,advisoragent service positive,,,,,,,,,,,,"great price & customer service . recommend [ redacted ] & r motor . left lockable wheel nut garage , [ redacted ] immediately contacted let know . would use .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Good web site, saved money and partner who fitted the tyres were quick and efficient",length of fitting positive,value for money positive,,,,,,,,,,,,,"good web site , saved money partner fitted tyre quick efficient",[],[]
Excellent service. Tyres arrived as promised and saved me money.,delivery punctuality positive,value for money positive,,,,,,,,,,,,,excellent service . tyre arrived promised saved money .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to place order, and arrange fitting",ease of booking positive,,,,,,,,,,,,,,"easy place order , arrange fitting",[],[]
"Used [REDACTED] twice, never again. Was supposed to be fitted on Wednesday got an email at 6:30pm Tuesday saying there was an issue and could not fit on Wednesday. Rang the garage who said two tyres were delivered they asked where the others were and was told that [REDACTED] only ordered two instead of four! Had to rearrange the rest of my week because of this.",late notice negative,change of date negative,,,,,,,,,,,,,"used [ redacted ] twice , never . supposed fitted wednesday got email 6:30pm tuesday saying issue could fit wednesday . rang garage said two tyre delivered asked others told [ redacted ] ordered two instead four ! rearrange rest week .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"Initial tyre order was lost in the post on way to the fitting garage. I was informed the day before by email and text that there was a change to my order. No indication of what had changed, I read the new email and missed the date change.Wasted my time by going to the garage, who didn't have the tyres when I noticed the date change. I would recommend that they update the messages to state what has changed.I was called later in the afternoon, as there was no more stock of the tyres I had purchased and was offered a free upgrade to better tyres (£45 each x 2). The second visit and fitting went without any issues.Good customer service but I've removed one star just because of the issues faced (partly I know to my mistake) and the fact they need to let you know what has changed.",change of date negative,advisoragent service negative,delivery punctuality negative,garage service negative,,,,,,,,,,,"initial tyre order lost post way fitting garage . informed day email text change order . indication changed , read new email missed date change.wasted time going garage , n't tyre noticed date change . would recommend update message state changed.i called later afternoon , stock tyre purchased offered free upgrade better tyre ( £45 x 2 ) . second visit fitting went without issues.good customer service 've removed one star issue faced ( partly know mistake ) fact need let know changed .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"Not a great Experience with [REDACTED].com on this occasion , Firstly the cancelled my original appointment at 3pm on the day before I was due to get my tyres fitted . they took upon themselves to move my appointment on 2 days after the original appointment . When I eventually got there after rearranging my schedule the person at the garage informed me that they had the tyres but my appointment had been cancelled and that I had to phone to confirm so they would get paid .the only reason they have 2 stars instead of one was that the garage I went to we really helpful .",booking confusion negative,change of date negative,,,,,,,,,,,,,"great experience [ redacted ] .com occasion , firstly cancelled original appointment 3pm day due get tyre fitted . took upon move appointment 2 day original appointment . eventually got rearranging schedule person garage informed tyre appointment cancelled phone confirm would get paid .the reason 2 star instead one garage went really helpful .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"[REDACTED] only delivered three tyres to the garage instead of four for the following day fitting which had to be cancelled. An MOT was also arranged to coincide with the fitting which had to be cancelled and rearranged. Unusually, as my wife is severely disabled and requires constant care, arrangements were made for her to be looked after at the day centre in Kirriemuir on the first date given. Consequently, similar arrangements had to be made on the actual day of the fitting. So in my case the late cancelation caused considerable problems.",late notice negative,change of date negative,incorrect tyres sent negative,,,,,,,,,,,,"[ redacted ] delivered three tyre garage instead four following day fitting cancelled . mot also arranged coincide fitting cancelled rearranged . unusually , wife severely disabled requires constant care , arrangement made looked day centre kirriemuir first date given . consequently , similar arrangement made actual day fitting . case late cancelation caused considerable problem .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"I had the garage all booked, tyres didn't arrive so had to rearrange the following week, then get told the garage couldn't fit me in for another 3 weeks, so had to go to a different garage further away.",change of date negative,booking confusion negative,,,,,,,,,,,,,"garage booked , tyre n't arrive rearrange following week , get told garage could n't fit another 3 week , go different garage away .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
Good tyre section easy to arrange a service garage with a good selection of slots to have the tyres changed at competitive prices.,value for money positive,location positive,ease of booking positive,,,,,,,,,,,,good tyre section easy arrange service garage good selection slot tyre changed competitive price .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good price at a local service centre,location positive,value for money positive,,,,,,,,,,,,,good price local service centre,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Easy and cheaper,value for money positive,,,,,,,,,,,,,,easy cheaper,[],[]
best prices at a local service centre,location positive,value for money positive,,,,,,,,,,,,,best price local service centre,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Competative on price, quality product and delivered on time to the correct garage.",delivery punctuality positive,value for money positive,,,,,,,,,,,,,"competative price , quality product delivered time correct garage .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
Easy to use reasonable prices.,value for money positive,,,,,,,,,,,,,,easy use reasonable price .,[],[]
Very easy to order and arrange tyre fitting. Excellent service - would highly recommend.,ease of booking positive,,,,,,,,,,,,,,easy order arrange tyre fitting . excellent service - would highly recommend .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good quality products at good competitive prices,value for money positive,tyre quality positive,,,,,,,,,,,,,good quality product good competitive price,[],[]
Good prices but fitting garage didn't want to know when they knew the tyres were from yourselves,value for money positive,,,,,,,,,,,,,,good price fitting garage n't want know knew tyre,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Poor customer service. Well having used [REDACTED] before I opted to purchase some fully fitted tyres from them.Got the confirmation email and booking for fitting, so I took half day off work to allow, very late email arrives saying delay and so booking moved a day forward. So another half day booked and what another late email saying can’t actually get hold of tyres? I rang their customer services who had no sympathy at all for 2 half days being booked and they could offer me cheaper tyres at the same price of which I refused. I explained that my chosen tyres were still on sale on their website but for some reason were almost £20 more for each tyre, could this be the reason? Who knows, anyway I had to opt for different tyres to be fitted which meant another delay and more time off work. Also the tyres were cheaper and a refund is pending but nothing yet so I’ll have to contact them again 🙁",advisoragent service negative,late notice negative,change of date negative,delivery punctuality negative,,,,,,,,,,,"poor customer service . well used [ redacted ] opted purchase fully fitted tyre them.got confirmation email booking fitting , took half day work allow , late email arrives saying delay booking moved day forward . another half day booked another late email saying ’ actually get hold tyre ? rang customer service sympathy 2 half day booked could offer cheaper tyre price refused . explained chosen tyre still sale website reason almost £20 tyre , could reason ? know , anyway opt different tyre fitted meant another delay time work . also tyre cheaper refund pending nothing yet ’ contact 🙁","[('Garage service', 'aspect'), ('Wait time', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Wait time', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
"Im a happy repeat customer. I'm a repeat customer for great service and excellent value. The independent garage at Bolney Grange near Haywards Heath who fitted my first set of [REDACTED] tyres years ago, have been my garage for a number of years now. [REDACTED] website is the first place I look for tyres for my BMW Z4.",value for money positive,garage service positive,,,,,,,,,,,,,"im happy repeat customer . 'm repeat customer great service excellent value . independent garage bolney grange near haywards heath fitted first set [ redacted ] tyre year ago , garage number year . [ redacted ] website first place look tyre bmw z4 .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Tyre not available on first date booked had to rebook,delivery punctuality negative,,,,,,,,,,,,,,tyre available first date booked rebook,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'neutral')]"
"Disappointing for what use to be a great company. I have used [REDACTED] for 2 years. Slowly but surely the service has got poorer and poorer. No response from email queries. Dates for fitting are promised and then cancelled. Having finally decided to use ATS Tyres direct, who were actually cheaper, my refund has still not be received after two weeks. The work was subcontracted through ATS anyway. A real shame for what use to be a great business.",refund negative,advisoragent service negative,value for money negative,change of date negative,,,,,,,,,,,"disappointing use great company . used [ redacted ] 2 year . slowly surely service got poorer poorer . response email query . date fitting promised cancelled . finally decided use at tyre direct , actually cheaper , refund still received two week . work subcontracted at anyway . real shame use great business .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
The mobile fitter damaged the underside of my car. Unlikely to recommend.,mobile fitter negative,,,,,,,,,,,,,,mobile fitter damaged underside car . unlikely recommend .,[],[]
"Excellent supplier. An excellent tyre supplier. Have used BC before - they have an easy to use online tyre selector for my car, Offer a wide range of tyre choice across whole price range, Good price on the ones I wanted and plenty of information and reviews, delivered fine to my garage (where I also get car serviced and maintained!) .. fitted fine and couldn't ask for better service.",value for money positive,garage service positive,,,,,,,,,,,,,"excellent supplier . excellent tyre supplier . used bc - easy use online tyre selector car , offer wide range tyre choice across whole price range , good price one wanted plenty information review , delivered fine garage ( also get car serviced maintained ! ) .. fitted fine could n't ask better service .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Delivery date was not met.,delivery punctuality negative,,,,,,,,,,,,,,delivery date met .,[],[]
Best prices every time.,value for money positive,,,,,,,,,,,,,,best price every time .,[],[]
"Competitive prices on a good range of tyres, able to book appointment time that suited, good location and staff were efficient, polite and courteous and were able to answer all my questions about the condition of our tyres.",ease of booking positive,value for money positive,garage service positive,,,,,,,,,,,,"competitive price good range tyre , able book appointment time suited , good location staff efficient , polite courteous able answer question condition tyre .","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
"Brilliant service from start to finish. This was so easy to do and I have already recommended to friends. Thanks [REDACTED] and Golden hill garage for excellent service,",garage service positive,,,,,,,,,,,,,,"brilliant service start finish . easy already recommended friend . thanks [ redacted ] golden hill garage excellent service ,","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very good tyres and friendly service.,tyre quality positive,garage service positive,,,,,,,,,,,,,good tyre friendly service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
They delivered the wrong tyres not even a close one. They brought tyres for a van. And i had to call them like 3 times to clear it is not my tyre. [REDACTED] support employee had no idea wha im talking about and cancelled my order to make a refund. I had to call him back that i want my tyre asap. Kam servicing in Beeston is 5 stars as they managed to help me out of this and rebook the appointment when they delivered finally the good tyres a couple of days later....,incorrect tyres sent negative,advisoragent service negative,,,,,,,,,,,,,delivered wrong tyre even close one . brought tyre van . call like 3 time clear tyre . [ redacted ] support employee idea wha im talking cancelled order make refund . call back want tyre asap . kam servicing beeston 5 star managed help rebook appointment delivered finally good tyre couple day later ....,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
"Exceptional service. I bought a rear tyre for my mondeo. When I went for fitting it turned out that I'd chosen the wrong speed rating. I called [REDACTED] expecting the worst. To my complete surprise and, dare I say, joy.They arranged for this to be picked up and the correct one sent out. I will not hesitate to use [REDACTED] again. A great price, great service and nice people to boot. Thank you",advisoragent service positive,value for money positive,,,,,,,,,,,,,"exceptional service . bought rear tyre mondeo . went fitting turned 'd chosen wrong speed rating . called [ redacted ] expecting worst . complete surprise , dare say , joy.they arranged picked correct one sent . hesitate use [ redacted ] . great price , great service nice people boot . thank","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
First time I have used [REDACTED] and never again. First they delivered one 18 inch & one 19 inch tyre instead of two 18's.Once this had been sorted out I went to get the tyres fitted and was appalled by the shabby condition of the tyres, they looked grey and old (but unused) not at all how new tyres normally look. Not surprising when I inspected the 'Dot Date' and it was 4517 (ie tyres manufactured in week 45 of 2017.Queried this with [REDACTED] who told me that they have many different suppliers and do not check the age of the tyres.They could re-order but no guarantee that the replacements would be any newer. Not at all happy and requested a refund which they say they will do.,tyre quality negative,incorrect tyres sent negative,tyre agedot code negative,,,,,,,,,,,first time used [ redacted ] never . first delivered one 18 inch & one 19 inch tyre instead two 18's.once sorted went get tyre fitted appalled shabby condition tyre,[],[]
Really great and easy experience. Has all the information I need to make a great choice. Getting tyres fitted was just as easy. Definitely will be a repeat customer.,ease of booking positive,garage service positive,,,,,,,,,,,,,really great easy experience . information need make great choice . getting tyre fitted easy . definitely repeat customer .,[],[]
"Good product and price, 1st choice fitting centre was unavailable, despite the time and day showing availability. [REDACTED], however managed to get me in to a different centre at short notice. Found their agents very helpful",tyre quality positive,ease of booking negative,advisoragent service positive,value for money positive,,,,,,,,,,,"good product price , 1st choice fitting centre unavailable , despite time day showing availability . [ redacted ] , however managed get different centre short notice . found agent helpful",[],[]
"good price, tyres waiting when arrived 4 done in under a hour",length of fitting positive,delivery punctuality positive,value for money positive,,,,,,,,,,,,"good price , tyre waiting arrived 4 done hour",[],[]
easy & quick ordering process tyres fitted on time whilst saving money on purchase,length of fitting positive,wait time positive,,,,,,,,,,,,,easy & quick ordering process tyre fitted time whilst saving money purchase,[],[]
"Easy service, best prices I could find",value for money positive,,,,,,,,,,,,,,"easy service , best price could find","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good choice of tyres at reasonable prices. Prompt & friendly service from firmest centre.,garage service positive,value for money positive,,,,,,,,,,,,,good choice tyre reasonable price . prompt & friendly service firmest centre .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
ordering process quick easy whilst4 new tyres. ordering process quick & easy whilst saving money job done at local garage very proffesional,location positive,value for money positive,,,,,,,,,,,,,ordering process quick easy whilst4 new tyre . ordering process quick & easy whilst saving money job done local garage proffesional,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Review. friendly, effecient service , easy to use website",garage service positive,,,,,,,,,,,,,,"review . friendly , effecient service , easy use website","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great Value Service. Fast, efficient and professional service.Barney and the guys are great.Perfect!",length of fitting positive,value for money positive,garage service positive,,,,,,,,,,,,"great value service . fast , efficient professional service.barney guy great.perfect !","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to use website, good value for quality tyres",value for money positive,tyre quality positive,,,,,,,,,,,,,"easy use website , good value quality tyre",[],[]
Easy to use service. Good prices and excellent choice of tyres for all budgets. Plus you can choose a location and day that suits you.,value for money positive,ease of booking positive,location positive,,,,,,,,,,,,easy use service . good price excellent choice tyre budget . plus choose location day suit .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good value for money. Quick & simple ordering process. Great tyres,value for money positive,,,,,,,,,,,,,,good value money . quick & simple ordering process . great tyre,[],[]
Very good price ànd fitting garage excellent.,value for money positive,garage service positive,,,,,,,,,,,,,good price ànd fitting garage excellent .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
They are reasonable quality tyres.,tyre quality positive,value for money positive,,,,,,,,,,,,,reasonable quality tyre .,[],[]
Excellent prices and top quality service,value for money positive,,,,,,,,,,,,,,excellent price top quality service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy to use website, good price, huge choice, good network of fitters. What more could you want.",value for money positive,,,,,,,,,,,,,,"easy use website , good price , huge choice , good network fitter . could want .",[],[]
Best price and quick delivery to conveniently located garage,delivery punctuality positive,location positive,value for money positive,,,,,,,,,,,,best price quick delivery conveniently located garage,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Good prices, easy to buy",value for money positive,,,,,,,,,,,,,,"good price , easy buy",[],[]
"Great price and service, good choice of locations close to me to choose from",location positive,value for money positive,,,,,,,,,,,,,"great price service , good choice location close choose","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent quality and price. Very swift delivery!,value for money positive,delivery punctuality positive,,,,,,,,,,,,,excellent quality price . swift delivery !,[],[]
"Excellent service and price. The people who came to fit tyre were professional, and very nice would use again",garage service positive,value for money positive,,,,,,,,,,,,,"excellent service price . people came fit tyre professional , nice would use","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"great service, tyres arrived on time and were fitted quickly",delivery punctuality positive,length of fitting positive,,,,,,,,,,,,,"great service , tyre arrived time fitted quickly","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent and highly professional!,garage service positive,,,,,,,,,,,,,,excellent highly professional !,[],[]
Great value and service,value for money positive,,,,,,,,,,,,,,great value service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Second time the appointment has been changed by yourselves. Still waiting on £10 credit,change of date negative,,,,,,,,,,,,,,second time appointment changed . still waiting £10 credit,[],[]
